date,symbol,company_name,market_cap,market_cap_text,source_url
1985-05-31,VZ,Verizon Communications,8953000000.0,$8.953B,https://www.finhacker.cz/en/stocks/verizon-communications-market-cap/
1985-05-31,WFC,Wells Fargo,749000000.0,$0.749B,https://www.finhacker.cz/en/stocks/wells-fargo-market-cap/
1985-05-31,WMT,Walmart,7343000000.0,$7.343B,https://www.finhacker.cz/en/stocks/walmart-market-cap/
1985-05-31,XOM,Exxon Mobil,42282000000.0,$42.282B,https://www.finhacker.cz/en/stocks/exxon-mobil-market-cap/
1985-06-28,AAPL,Apple,1107000000.0,$1.107B,https://www.finhacker.cz/en/stocks/apple-market-cap/
1985-06-28,AIG,AIG,5125000000.0,$5.125B,https://www.finhacker.cz/en/stocks/american-international-group-market-cap/
1985-06-28,AMD,Advanced Micro Devices,1448000000.0,$1.448B,https://www.finhacker.cz/en/stocks/advanced-micro-devices-market-cap/
1985-06-28,AMGN,Amgen,86327000.0,$86.327M,https://www.finhacker.cz/en/stocks/amgen-market-cap/
1985-06-28,BA,Boeing,6516000000.0,$6.516B,https://www.finhacker.cz/en/stocks/boeing-market-cap/
1985-06-28,DIS,Walt Disney,3104000000.0,$3.104B,https://www.finhacker.cz/en/stocks/walt-disney-market-cap/
1985-06-28,FNMA,Fannie Mae,1367000000.0,$1.367B,https://www.finhacker.cz/en/stocks/fannie-mae-market-cap/
1985-06-28,GE,General Electric,16854000000.0,$16.854B,https://www.finhacker.cz/en/stocks/ge-aerospace-market-cap/
1985-06-28,HD,Home Depot,331000000.0,$0.331B,https://www.finhacker.cz/en/stocks/home-depot-market-cap/
1985-06-28,IBM,IBM,72428000000.0,$72.428B,https://www.finhacker.cz/en/stocks/international-business-machines-market-cap/
1985-06-28,INTC,Intel,2958000000.0,$2.958B,https://www.finhacker.cz/en/stocks/intel-market-cap/
1985-06-28,JNJ,Johnson & Johnson,8481000000.0,$8.481B,https://www.finhacker.cz/en/stocks/johnson-johnson-market-cap/
1985-06-28,JPM,JPMorgan Chase,1954000000.0,$1.954B,https://www.finhacker.cz/en/stocks/jpmorgan-chase-market-cap/
1985-06-28,K-202512,Kellogg Company,3372000000.0,$3.372B,https://www.finhacker.cz/en/stocks/kellanova-market-cap/
1985-06-28,KO,Coca-Cola,9085000000.0,$9.085B,https://www.finhacker.cz/en/stocks/coca-cola-market-cap/
1985-06-28,LLY,Eli Lilly,6212000000.0,$6.212B,https://www.finhacker.cz/en/stocks/eli-lilly-market-cap/
1985-06-28,MCD,McDonald’s,5880000000.0,$5.88B,https://www.finhacker.cz/en/stocks/mcdonalds-market-cap/
1985-06-28,MMM,3M,9117000000.0,$9.117B,https://www.finhacker.cz/en/stocks/3m-market-cap/
1985-06-28,MO,Altria Group,10373000000.0,$10.373B,https://www.finhacker.cz/en/stocks/altria-group-market-cap/
1985-06-28,MRK,Merck,8103000000.0,$8.103B,https://www.finhacker.cz/en/stocks/merck-market-cap/
1985-06-28,MU,Micron Technology,169000000.0,$0.169B,https://www.finhacker.cz/en/stocks/micron-technology-market-cap/
1985-06-28,PEP,PepsiCo,5786000000.0,$5.786B,https://www.finhacker.cz/en/stocks/pepsico-market-cap/
1985-06-28,PFE,Pfizer,7539000000.0,$7.539B,https://www.finhacker.cz/en/stocks/pfizer-market-cap/
1985-06-28,PG,Procter & Gamble,9331000000.0,$9.331B,https://www.finhacker.cz/en/stocks/procter-gamble-market-cap/
1985-06-28,SLB,Schlumberger,11616000000.0,$11.616B,https://www.finhacker.cz/en/stocks/schlumberger-market-cap/
1985-06-28,T,AT&T,6273000000.0,$6.273B,https://www.finhacker.cz/en/stocks/att-market-cap/
1985-06-28,UNH,UnitedHealth Group,79295000.0,$79.295M,https://www.finhacker.cz/en/stocks/unitedhealth-group-market-cap/
1985-06-28,VZ,Verizon Communications,9227000000.0,$9.227B,https://www.finhacker.cz/en/stocks/verizon-communications-market-cap/
1985-06-28,WFC,Wells Fargo,793000000.0,$0.793B,https://www.finhacker.cz/en/stocks/wells-fargo-market-cap/
1985-06-28,WMT,Walmart,7659000000.0,$7.659B,https://www.finhacker.cz/en/stocks/walmart-market-cap/
1985-06-28,XOM,Exxon Mobil,42184000000.0,$42.184B,https://www.finhacker.cz/en/stocks/exxon-mobil-market-cap/
1985-07-31,AAPL,Apple,977000000.0,$0.977B,https://www.finhacker.cz/en/stocks/apple-market-cap/
1985-07-31,AIG,AIG,5239000000.0,$5.239B,https://www.finhacker.cz/en/stocks/american-international-group-market-cap/
1985-07-31,AMD,Advanced Micro Devices,1652000000.0,$1.652B,https://www.finhacker.cz/en/stocks/advanced-micro-devices-market-cap/
1985-07-31,AMGN,Amgen,78871000.0,$78.871M,https://www.finhacker.cz/en/stocks/amgen-market-cap/
1985-07-31,BA,Boeing,7030000000.0,$7.03B,https://www.finhacker.cz/en/stocks/boeing-market-cap/
1985-07-31,DIS,Walt Disney,2881000000.0,$2.881B,https://www.finhacker.cz/en/stocks/walt-disney-market-cap/
1985-07-31,FNMA,Fannie Mae,1486000000.0,$1.486B,https://www.finhacker.cz/en/stocks/fannie-mae-market-cap/
1985-07-31,GE,General Electric,17467000000.0,$17.467B,https://www.finhacker.cz/en/stocks/ge-aerospace-market-cap/
1985-07-31,HD,Home Depot,328000000.0,$0.328B,https://www.finhacker.cz/en/stocks/home-depot-market-cap/
1985-07-31,IBM,IBM,76891000000.0,$76.891B,https://www.finhacker.cz/en/stocks/international-business-machines-market-cap/
1985-07-31,INTC,Intel,3214000000.0,$3.214B,https://www.finhacker.cz/en/stocks/intel-market-cap/
1985-07-31,JNJ,Johnson & Johnson,8435000000.000001,$8.435B,https://www.finhacker.cz/en/stocks/johnson-johnson-market-cap/
1985-07-31,JPM,JPMorgan Chase,1976000000.0,$1.976B,https://www.finhacker.cz/en/stocks/jpmorgan-chase-market-cap/
1985-07-31,K-202512,Kellogg Company,3100000000.0,$3.1B,https://www.finhacker.cz/en/stocks/kellanova-market-cap/
1985-07-31,KO,Coca-Cola,9462000000.0,$9.462B,https://www.finhacker.cz/en/stocks/coca-cola-market-cap/
1985-07-31,LLY,Eli Lilly,6095000000.0,$6.095B,https://www.finhacker.cz/en/stocks/eli-lilly-market-cap/
1985-07-31,MCD,McDonald’s,5644000000.0,$5.644B,https://www.finhacker.cz/en/stocks/mcdonalds-market-cap/
1985-07-31,MMM,3M,9184000000.0,$9.184B,https://www.finhacker.cz/en/stocks/3m-market-cap/
1985-07-31,MO,Altria Group,10085000000.0,$10.085B,https://www.finhacker.cz/en/stocks/altria-group-market-cap/
1985-07-31,MRK,Merck,8114000000.000001,$8.114B,https://www.finhacker.cz/en/stocks/merck-market-cap/
1985-07-31,MU,Micron Technology,152000000.0,$0.152B,https://www.finhacker.cz/en/stocks/micron-technology-market-cap/
